SRR13291825.2509	k141_25_monomer_x2	99.487	195	21	215	80	274	8.11e-103
SRR13291825.2509	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.2509	k141_25_monomer_x2	98.864	88	128	215	1	88	2.46e-43
SRR13291825.4932	k141_25_monomer_x2	100.000	197	21	217	80	276	1.35e-105
SRR13291825.4932	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.4932	k141_25_monomer_x2	100.000	90	128	217	1	90	4.08e-46
SRR13291825.10844	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.10844	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.10844	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.12704	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.12704	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.12704	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.22234	k141_25_monomer_x2	98.974	195	21	215	80	274	3.77e-101
SRR13291825.22234	k141_25_monomer_x2	99.065	107	21	127	266	372	6.73e-54
SRR13291825.22234	k141_25_monomer_x2	98.864	88	128	215	1	88	2.46e-43
SRR13291825.24549	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.24549	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.24549	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.30048	k141_25_monomer_x2	98.974	195	21	215	80	274	3.77e-101
SRR13291825.30048	k141_25_monomer_x2	99.065	107	21	127	266	372	6.73e-54
SRR13291825.30048	k141_25_monomer_x2	98.864	88	128	215	1	88	2.46e-43
SRR13291825.30855	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.30855	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.30855	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.31155	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.31155	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.31155	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.32612	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
SRR13291825.32612	k141_25_monomer_x2	100.000	107	21	127	266	372	1.45e-55
SRR13291825.32612	k141_25_monomer_x2	100.000	88	128	215	1	88	5.28e-45
SRR13291825.32904	k141_25_monomer_x2	100.000	195	21	215	80	274	1.74e-104
